"","X.1","X","Year","Births1","Rate2"
"1",97,1,1910,2777000,30.1
"2",96,2,1911,2814600,29.98
"3",95,3,1912,2852200,29.86
"4",94,4,1913,2889800,29.74
"5",93,5,1914,2927400,29.62
"6",92,6,1915,2965000,29.5
"7",91,7,1916,2962000,29.14
"8",90,8,1917,2959000,28.78
"9",89,9,1918,2956000,28.42
"10",88,10,1919,2953000,28.06
"11",87,11,1920,2950000,27.7
"12",86,12,1921,2941800,27.18
"13",85,13,1922,2933600,26.66
"14",84,14,1923,2925400,26.14
"15",83,15,1924,2917200,25.62
"16",82,16,1925,2909000,25.1
"17",81,17,1926,2850800,24.34
"18",80,18,1927,2792600,23.58
"19",79,19,1928,2734400,22.82
"20",78,20,1929,2676200,22.06
"21",77,21,1930,2618000,21.3
"22",76,22,1931,2569800,20.78
"23",75,23,1932,2521600,20.26
"24",74,24,1933,2473400,19.74
"25",73,25,1934,2425200,19.22
"26",72,26,1935,2377000,18.7
"27",71,27,1936,2413400,18.84
"28",70,28,1937,2449800,18.98
"29",69,29,1938,2486200,19.12
"30",68,30,1939,2522600,19.26
"31",67,31,1940,2559000,19.4
"32",66,32,1941,2618800,19.6
"33",65,33,1942,2678600,19.8
"34",64,34,1943,2738400,20
"35",63,35,1944,2798200,20.2
"36",62,36,1945,2858000,20.4
"37",61,37,1946,3012800,21.14
"38",60,38,1947,3167600,21.88
"39",59,39,1948,3322400,22.62
"40",58,40,1949,3477200,23.36
"41",57,41,1950,3632000,24.1
"42",56,42,1951,3772500,24.6
"43",55,43,1952,3913000,25.1
"44",54,44,1953,3965000,25.1
"45",53,45,1954,4078000,25.3
"46",52,46,1955,4104000,25
"47",51,47,1956,4218000,25.2
"48",50,48,1957,4308000,25.3
"49",49,49,1958,4255000,24.5
"50",48,50,1959,4295000,24.3
"51",47,51,1960,4257850,23.7
"52",46,52,1961,4268326,23.3
"53",45,53,1962,4167362,22.4
"54",44,54,1963,4098020,21.7
"55",43,55,1964,4027490,21
"56",42,56,1965,3760358,19.4
"57",41,57,1966,3606274,18.4
"58",40,58,1967,3520959,17.8
"59",39,59,1968,3501564,17.5
"60",38,60,1969,3600206,17.8
"61",37,61,1970,3731386,18.4
"62",36,62,1971,3555970,17.2
"63",35,63,1972,3258411,15.6
"64",34,64,1973,3136965,14.9
"65",33,65,1974,3159958,14.9
"66",32,66,1975,3144198,14.8
"67",31,67,1976,3167788,14.8
"68",30,68,1977,3326632,15.4
"69",29,69,1978,3333279,15.3
"70",28,70,1979,3494398,15.9
"71",27,71,1980,3612258,15.9
"72",26,72,1981,3646397.5,15.9
"73",25,73,1982,3680537,15.9
"74",24,74,1983,3638933,15.5
"75",23,75,1984,3669141,15.5
"76",22,76,1985,3760561,15.8
"77",21,77,1986,3731000,15.5
"78",20,78,1987,3829000,15.7
"79",19,79,1988,3913000,15.9
"80",18,80,1989,4021000,16.2
"81",17,81,1990,4179000,16.7
"82",16,82,1991,4111000,16.2
"83",15,83,1992,4084000,16
"84",14,84,1993,4039000,15.7
"85",13,85,1994,3979000,15.3
"86",12,86,1995,3892000,14.8
"87",11,87,1996,3899000,14.7
"88",10,88,1997,3882000,14.5
"89",9,89,1998,3941553,14.6
"90",8,90,1999,3959417,14.5
"91",7,91,2000,4058814,14.7
"92",6,92,2001,4025933,14.1
"93",5,93,2002,4021726,13.9
"94",4,94,2003,4089950,14.1
"95",3,95,2004,4112052,14
"96",2,96,2005,4138349,14
"97",1,97,2009,4131019,13.8
