Year,Births,BirthsLag45,BirthsLag65,65to45YrOlds
2009,4131019,4027490,2798200,0.694775157728511
2005,4138349,4098020,2738400,0.668225142873876
2004,4112052,4167362,2678600,0.64275673675577
2003,4089950,4268326,2618800,0.613542639432883
2002,4021726,4257850,2559000,0.601007550759186
2001,4025933,4295000,2522600,0.587334109429569
2000,4058814,4255000,2486200,0.584300822561692
1999,3959417,4308000,2449800,0.56866295264624
1998,3941553,4218000,2413400,0.572166903745851
1997,3882000,4104000,2377000,0.579191033138402
1996,3899000,4078000,2425200,0.594703285924473
1995,3892000,3965000,2473400,0.623808322824716
1994,3979000,3913000,2521600,0.644416049067212
1993,4039000,3772500,2569800,0.681192842942346
1992,4084000,3632000,2618000,0.720814977973568
1991,4111000,3477200,2676200,0.769642240883469
1990,4179000,3322400,2734400,0.823019503973032
1989,4021000,3167600,2792600,0.88161384013133
1988,3913000,3012800,2850800,0.946229421136484
1987,3829000,2858000,2909000,1.01784464660602
1986,3731000,2798200,2917200,1.04252733900365
1985,3760561,2738400,2925400,1.06828805141689
1984,3669141,2678600,2933600,1.09519898454416
1983,3638933,2618800,2941800,1.12333893386284
1982,3680537,2559000,2950000,1.15279406017976
1981,3646397.5,2522600,2953000,1.17061761674463
1980,3612258,2486200,2956000,1.18896307618052
1979,3494398,2449800,2959000,1.20785370234305
1978,3333279,2413400,2962000,1.22731416259219
1977,3326632,2377000,2965000,1.24737063525452
1976,3167788,2425200,2927400,1.20707570509649
1975,3144198,2473400,2889800,1.16835125737851
1974,3159958,2521600,2852200,1.13110723350254
1973,3136965,2569800,2814600,1.09526033154331
1972,3258411,2618000,2777000,1.0607333842628
